id_evento,nombre,descripcion,fecha_hora,precio,id_ubicacion,id_actividad,estado_aforo
1,Transform magnetic architectures,"Number quality how may nice range. Ask such area arm cup east.
And north wrong information approach. Up international third ahead.",9/3/2024 11:18,133.28,10,19,0
2,Visualize proactive applications,Education only everybody center there fish stand. Still itself author quality newspaper. News north treatment probably season their. Expert true nation today.,9/14/2024 0:52,254,11,1,0
3,Optimize visionary metrics,Mind focus capital ahead have late. Now practice attention computer can appear scientist. Describe glass in situation manager someone.,9/2/2024 9:14,207.45,17,24,0
4,Incubate proactive content,Force third few space try standard character player. Agency while international true more.,5/11/2024 15:27,286.46,4,5,1
5,Orchestrate seamless roi,Economy prove wind head give. Yourself ever deep purpose. Home free pick shake measure new personal anything.,5/17/2024 16:08,248.29,15,30,1
6,Incentivize end-to-end interfaces,"Focus pattern exactly space amount theory. Attack cost myself pay. Letter who player.
Doctor bank source particular. Buy ok or picture. Will computer this our significant in scene.",7/19/2024 6:26,258.98,16,30,0
7,Seize distributed models,"Moment want actually fly east yard. Still individual kitchen. Charge recently book child week.
Section yeah door sound research eight future. Attorney raise individual live right right response.",11/22/2024 4:31,118.39,2,1,0
8,Utilize transparent infrastructures,Ahead once create point enough possible any less. Too Congress door eye something me financial. Establish pay notice resource four cut health. Key Democrat follow doctor name understand course.,9/12/2024 20:40,67.07,12,7,0
9,Incentivize leading-edge experiences,White market recent case Democrat into say. Blood up man possible fish dinner word.,6/29/2024 3:19,66.1,17,21,0
10,Evolve one-to-one schemas,Since contain plant worry pattern tough. Sport resource official almost work vote. Weight learn position major.,10/15/2024 10:23,81.57,3,8,0
11,Enhance b2b deliverables,"Early all develop action write. Character institution source oil plan well.
Listen lawyer north. Its grow analysis heart maintain wear.",9/2/2024 9:14,117.11,2,24,1
12,Iterate out-of-the-box e-tailers,"Voice toward majority toward several instead trade.
Strategy ball change. Know notice open without way.
Adult wear technology long body appear.",7/31/2024 22:49,112.27,3,2,0
13,Harness end-to-end action-items,"Position year which against cup.
Sound clearly produce himself almost before feeling. Form fear lawyer pressure. Buy half check current hot.",9/30/2024 20:01,181.34,8,18,1
14,Empower dynamic experiences,Professor manager arrive wide boy defense. Military degree site worry space century.,9/14/2024 11:06,12.44,4,26,0
15,Facilitate intuitive deliverables,"Fire rather official. Television half population. Whole better down politics now.
Develop name southern one garden thank special. Information now reach indicate place.",10/15/2024 10:23,130.1,12,8,1
16,Enhance clicks-and-mortar deliverables,Get throw black example. Product politics product perhaps goal peace style.,7/22/2024 9:03,31.26,1,20,0
17,Orchestrate cutting-edge bandwidth,Own short for really soldier hair produce hundred. How special real social once season.,4/28/2024 15:57,112.88,7,10,0
18,Iterate intuitive niches,"Coach degree Congress sell paper. Professional fast family black big just.
Political buy theory shoulder appear. Whatever rest this say.
Term director wife style public.",6/27/2024 5:28,37.82,7,13,0
19,Utilize interactive functionalities,Safe significant reveal more condition more argue. Outside manager between important single time production. Hit stage rate sound.,9/14/2024 0:52,76.73,11,1,0
20,Re-intermediate end-to-end mindshare,Least large catch director price. Customer tonight matter worker.,5/11/2024 15:27,203.84,8,5,1
21,E-enable proactive synergies,"Art skin education tough bad audience. Happy detail religious toward environment same her. Think fund all and realize create there off.
Smile writer building summer.",6/27/2024 17:19,48.4,12,9,1
22,Expedite world-class architectures,"Usually loss bill arm. Well along model store southern. Wide cost like require between.
Artist forget make. Always strategy line. Follow simple nothing.",10/10/2024 9:24,229.68,11,4,1
23,Repurpose synergistic partnerships,"Than another audience check. Good short box majority contain practice trouble.
Finish old focus nor doctor she.
My least site smile. Generation small recent certain fast court.",10/16/2024 18:30,261.98,3,17,0
24,Facilitate rich users,"Across walk air speak despite true for. Medical eat defense above film let.
Part both bad item guy. Season parent interest ground allow receive.",11/2/2024 1:19,116.13,1,27,0
25,Visualize integrated e-business,Medical fill size consider full detail. Left present able eye. Leg quality partner reach American.,7/22/2024 9:03,183.35,16,20,1
26,Productize global web services,"Community choice base. Toward so within floor onto Republican he.
Major pay score whether. Energy really experience in. Story several none picture.",10/28/2024 5:18,292.45,12,12,0
27,Empower dynamic functionalities,"After wait relate particularly point. Something environment person light. Most car near.
More myself present similar.
Amount all her stop responsibility. Sister professional bed lot.",6/27/2024 5:28,39.78,6,13,0
28,Optimize magnetic architectures,"Economy deep fact happy value. Toward pass all order.
Financial arrive miss year rise. Theory prove popular peace represent radio total event.",9/2/2024 13:00,143.47,16,3,0
29,Incubate 24/365 initiatives,"Hour however there check anything identify. Ability part night single especially budget.
Base major carry staff the economy eight. Serve to region. Individual born notice either tree.",5/11/2024 15:27,118.87,10,5,0
30,Redefine dot-com metrics,Box employee writer surface. Church plant able later describe fill.,5/31/2024 18:04,298.31,7,29,1
31,Unleash best-of-breed e-tailers,"Send full vote action explain key.
Add find actually trip person property story level. Suggest in argue until avoid although. Able physical take sound society. Real out enter front.",9/14/2024 0:52,274.13,3,1,0
32,Optimize dynamic applications,Out key security investment. Doctor benefit coach.,9/23/2024 13:21,267.92,4,7,1
33,Productize cutting-edge applications,"Audience almost decade police nor every another. Brother audience bill course. Safe mean other exactly.
Guess reality join white approach eat development one.",11/21/2024 22:35,233.7,2,27,1
34,Grow frictionless channels,Miss him other never property act senior. Road speech field hope environment economic evening.,9/30/2024 20:01,218.51,5,18,1
35,Syndicate out-of-the-box functionalities,"Maybe guess onto image explain. Stand large itself party star south perform. Actually program upon may.
At deal local.
Speak room city particular seven. Meeting its at adult mind exist realize.",8/14/2024 20:03,35.12,14,22,0
36,Deploy front-end info-mediaries,"Arm travel less into agent few. These three test case college someone join.
World situation without table wall. Deep fight political lawyer far truth just hotel. Lay hot music sit her.",10/10/2024 9:24,154.19,11,4,1
37,Facilitate leading-edge models,"Meeting must tax college. Sound side college local decade though.
Every eight true day news character. And require decade recently.",8/23/2024 11:30,169.26,19,20,1
38,Benchmark mission-critical vortals,Air drop according still instead represent part. Goal study crime difference skin language pass.,9/3/2024 11:18,173.14,11,19,1
39,Generate front-end bandwidth,Mouth technology radio gas. Card design against purpose require. Like evening one indeed.,9/30/2024 20:01,217.52,20,18,1
40,Visualize 24/7 web services,Tv on article radio sing visit raise election. Blue scene product type first view cell.,6/27/2024 16:07,224.47,9,23,1
41,Benchmark turn-key interfaces,"East charge what wonder pretty drop. Population guess table tough politics. Hot including garden.
Life almost ability husband. Purpose expect add enjoy. Old dream week thousand protect dog.",10/16/2024 18:30,129.64,12,17,1
42,Facilitate robust e-markets,"Phone remember always interest. The impact exist administration door their cost. According off task.
Water mother my owner become teacher trip get. Feel raise law reach finish around science.",9/3/2024 11:18,75.56,1,19,1
43,Expedite efficient niches,"Keep degree loss let.
Ahead use reality recently above week theory eat. Energy perhaps stuff foot. Major base technology they yet must stock good.",11/2/2024 1:19,221,7,27,0
44,Monetize robust e-business,Fear to class soldier far hour on. I situation lay finally age. Drug store population seem author learn bad amount. Network leader market with least him try.,9/2/2024 9:14,16.24,15,24,1
45,Cultivate one-to-one synergies,"Represent arm strong choose. Make moment who TV any.
Card herself watch that protect.",9/2/2024 9:14,159.94,8,24,1
46,Morph web-enabled systems,"National article billion mission. Else better much know reveal key improve.
Soldier again get modern represent. A very fall part pick matter.",8/5/2024 14:11,250.47,11,16,1
47,Cultivate proactive applications,"Thing affect quality every. True wait between tonight.
Occur same help which range down message nature. Between floor public agent who final increase.",11/2/2024 1:19,84.32,16,27,1
48,Reinvent efficient bandwidth,"Whatever effect go health by work bag. Watch whom you.
Decide continue industry education. Tonight forward professional.",6/27/2024 17:19,169.45,9,9,1
49,Engage one-to-one info-mediaries,"Region cost glass walk. On like writer inside test let. Democratic rich television.
Where work center his need hair others. Together board try improve finally.",6/29/2024 3:19,31.02,14,21,0
50,Cultivate visionary schemas,About market area evidence nature feeling performance. Director plan clear special grow. Next of rock agency.,9/14/2024 11:06,155.7,7,26,1
